ID,Priority,Group,Media Type,Published,Year,Title / Item,Publication / Platform,Exact Name Matched,How Featured,Work / Subject,Byline / Host,Language,Source Relationship,Verification,Confidence,Press-Kit Use,Direct Link,Secondary Link,Evidence / Notes,Last Checked
PE-011,B,Press & Editorial,Expert commentary,2025-10-03,2025,Art PR: Expanding artistic reach through digital exhibitions,PR ON THE GO,Zazie Kanwar-Torge; Zazie Productions,Named expert with extended quote,Digital exhibitions and audience growth,,English,Independent editorial,Direct page verified,High,Recommended,https://pronthego.com/pages/blog/art-PR-expanding-artistic-reach-through-digital-exhibitions,,Expert heading contains both exact names.,2026-08-09
PE-012,B,Press & Editorial,Expert commentary,2025-10-27,2025,How film festivals can help a film attract media attention and get distribution deals,PR ON THE GO,Zazie Kanwar-Torge; Zazie Productions,Named expert with extended quote,Film-festival publicity,,English,Independent editorial,Direct page verified,High,Recommended,https://pronthego.com/pages/blog/indie-film-PR-how-film-festivals-can-help-a-film-attract-media-attention-and-get-distribution-deals,,Expert heading identifies Zazie Kanwar-Torge at Zazie Productions.,2026-08-09
PE-013,B,Press & Editorial,Expert commentary,2025-10-29,2025,Sights and Sounds - Aesthetic Identities of Indie Musicians,PR ON THE GO,Zazie Kanwar-Torge; Zazie Productions,Named expert / artist-curator quote,Indie music aesthetics,,English,Independent editorial,Direct page verified,High,Recommended,https://pronthego.com/pages/blog/indie-music-PR-sights-and-sounds-aesthetic-identities-of-indie-musicians,,Search-indexed expert heading contains both exact names.,2026-08-09
PE-014,B,Press & Editorial,Expert commentary,2025-04-18,2025,"This is how rebellious, alternative fashion is making its way back into society",PR ON THE GO,Zazie Productions,Named expert with extended quote,Grunge and whimsigoth fashion,,English,Independent editorial,Direct page verified,High,Recommended,https://pronthego.com/pages/blog/this-is-how-rebellious-alternative-fashion-is-making-its-way-back-into-society,,Contributor section is headed by the exact name Zazie Productions.,2026-08-09
PE-015,B,Press & Editorial,Expert commentary,2025-04-19,2025,When Algorithms Imitate Art: The Rise of Ghibli-Style AI and What It Means for Creators,PR ON THE GO,Zazie Productions,Named expert with direct quote,"AI, artistic ethics and imitation",,English,Independent editorial,Direct page + search index verified,High,Recommended,https://pronthego.com/pages/blog/when-algorithms-imitate-art-the-rise-of-ghibli-style-ai-and-what-it-means-for-creators,,Indexed contributor heading uses the exact name Zazie Productions.,2026-08-09
PE-016,C,Press & Editorial,Press release,2024-09-12,2024,Zazie Productions Unveils ‘Phantom Requiem’ (2024) – A Haunting Five-Minute Stop-Motion Avant-Garde Masterpiece,PRFree,Zazie Productions,Issued press release,Phantom Requiem,,English,Press-release platform / issued by artist,Direct page verified,High,Context only,https://news.prfree.org/@zazieproductions/zazie-productions-unveils-phantom-requiem-2024-a-haunting-five-minute-stop-motion-avant-garde-masterpiece-q85vaihvx2hk,,"Exact name is in headline and issuer field; label as a press release, not independent review.",2026-08-09
PE-017,C,Press & Editorial,Press release,2025-03-17,2025,"Zazie Productions Launches The Vanishing Point Syndicate, a Bold New NetLabel, with Dissonance Index Vol. 1",PRFree,Zazie Productions,Issued press release,The Vanishing Point Syndicate / Dissonance Index Vol. 1,,English,Press-release platform,Direct page verified,High,Context only,https://news.prfree.org/@noisemusicnewsdaily/zazie-productions-launches-the-vanishing-point-syndicate-a-bold-new-netlabel-with-dissonance-index-vol-1-a-global-underground-compilation-krmhmvbx1u59,,Exact name appears in headline and release body.,2026-08-09
PE-018,C,Press & Editorial,Hosted article / release,2025-03-17,2025,Zazie Productions Unleashes The Vanishing Point Syndicate with Dissonance Index Compilation,Telegraph (telegra.ph),Zazie Productions,Dedicated hosted article,The Vanishing Point Syndicate,Pablo Varga,English,User-hosted publishing platform,Direct page verified,High,Context only,https://telegra.ph/Zazie-Productions-Unleashes-The-Vanishing-Point-Syndicate-with-Dissonance-Index-Compilation-03-17,,"Exact name appears in headline and article body. This is Telegraph by Telegram, not The Daily Telegraph.",2026-08-09
PE-019,B,Press & Editorial,Podcast episode,2025-03-18,2025,The Online Frontier of Sound: Exploring The Vanishing Point Syndicate's First Compilation,Five Steps From The Fringe / Spotify for Creators,Zazie Productions,Episode centers the artist’s new online label,The Vanishing Point Syndicate,Obsidian Veil Media,English,Third-party podcast,Direct page verified,High,Recommended,https://creators.spotify.com/pod/profile/fsftf/episodes/The-Online-Frontier-of-Sound-Exploring-The-Vanishing-Point-Syndicates-First-Compilation-e30bl26,,Episode description begins with the exact name Zazie Productions.,2026-08-09
PE-020,A,Press & Editorial,Institutional artist feature / broadcast,2021-11-16,2021,BROADCAST: BMC RADIO ARTIST ZAZIE PRODUCTIONS,Black Mountain College Museum + Arts Center,Zazie Productions,"Commissioned radio artist bio, broadcast and interview announcement",Cheaper Impressions / BMC Radio Art,,English,Institutional,Direct page verified,High,Recommended,https://www.blackmountaincollege.org/broadcast-bmc-radio-artist-zazie-productions/,,"Exact name appears in headline, artist bio and event copy.",2026-08-09
PE-021,A,Press & Editorial,Podcast episode,2024-09-26,2024,Phantom Requiem: The Haunting Vision of Zazie Productions,Five Steps From The Fringe / Spotify,Zazie Productions,Dedicated podcast episode,Phantom Requiem,Obsidian Veil Media,English,Third-party podcast,Direct page verified,High,Recommended,https://open.spotify.com/episode/1fvq4kF8w6ew8IllOLf5yn,,Exact name is in episode title and description.,2026-08-09
PE-022,A,Press & Editorial,Audio feature,2021-12-17,2021,BMC Radio Art: Zazie Productions - Cheaper Impressions,Black Mountain College Radio / SoundCloud,Zazie Productions; Zazie Kanwar-Torge,Hosted commissioned radio artwork and artist description,Cheaper Impressions,,English,Institutional,Direct page verified,High,Recommended,https://soundcloud.com/bmcmuseum/bmc-radio-art-zazie-productions-cheaper-impressions,,Search-indexed title contains Zazie Productions and description names Zazie Kanwar-Torge.,2026-08-09
PE-023,B,Press & Editorial,Podcast listing,2021-12-17,2021,BMC Radio Art: Zazie Productions - Cheaper Impressions,Apple Podcasts,Zazie Productions,Podcast distribution listing,Cheaper Impressions,,English,Podcast distributor,Region-restricted page; exact title verified by URL and linked source,Medium,Recommended,https://podcasts.apple.com/au/podcast/bmc-radio-art-zazie-productions-cheaper-impressions/id1538618362?i=1000545099810,,Apple page is region restricted; exact episode title is preserved in URL and linked by official Linktree.,2026-08-09
PE-024,B,Press & Editorial,Magazine feature / sound art,2024-06-18,2024,Superpresent Vol. 4 No. 3 — Suture Disruption (Percussive),Superpresent Magazine,Zazie Productions,Contributor and featured sound-art entry on p. 66,Suture Disruption (Percussive),,English,Independent arts magazine,Direct page verified,High,Recommended,https://superpresent.org/wp-content/uploads/2024/06/V4N3-pdf.pdf,,PDF contents and entry credit the exact name Zazie Productions.,2026-08-09
PE-025,B,Press & Editorial,Magazine feature / music,2024,2024,"Issue #4, 2024 — Frostbite Fantasia",Ranger Magazine,Zazie Productions,Named music contributor with dedicated page,Frostbite Fantasia,,English,Independent arts magazine,Direct page verified,High,Recommended,https://www.rangermagazine.net/zazie_issue4,https://www.rangermagazine.net/issue4,Dedicated feature page and issue contents use the exact name.,2026-08-09
FF-001,A,"Film, Festivals & Exhibitions",Film review / exhibition page,2024-12,2024,PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions) | USA (2024) – JURY SPECIAL MENTION,Pebbles Underground,Zazie Kanwar-Torge; Zazie Productions,"Film page, award citation, bio and full film",Phantom Requiem,,English,Independent festival / arts platform,Direct page verified,High,Recommended,https://pebblesunderground.art/video/phantom-requiem/,,Both exact names appear in title and credits.,2026-08-09
FF-002,A,"Film, Festivals & Exhibitions",Award announcement,2024,2024,AWARD WINNERS – WINTER SCREENINGS 2024,Pebbles Underground,Zazie Kanwar-Torge; Zazie Productions,Jury Special Mention,Phantom Requiem,,English,Independent festival / arts platform,Direct page verified,High,Recommended,https://pebblesunderground.art/award-winners-winter-screenings-2024/,,Award list uses both exact names.,2026-08-09
FF-003,B,"Film, Festivals & Exhibitions",Award screening page,2025,2025,2024 AWARD WINNING WORKS,Pebbles Underground,Zazie Kanwar-Torge; Zazie Productions,Award-winning work and creator credits,Phantom Requiem,,English,Independent festival / arts platform,Direct page verified,High,Recommended,https://pebblesunderground.art/2024awardscreening/,,Film listing and credit use both exact names.,2026-08-09
FF-004,B,"Film, Festivals & Exhibitions",Screening page,2025-09-20,2025,THE FREEDOM TO CONTROL – Pebbles Underground at Visualcontainer [.BOX],Pebbles Underground,Zazie Kanwar-Torge; Zazie Productions,Screening selection and creator credits,Phantom Requiem,,English,Independent festival / arts platform,Direct page verified,High,Recommended,https://pebblesunderground.art/pebblesundergroundvisualcontainerbox/,,Screening page includes exact director and alias credits.,2026-08-09
FF-005,A,"Film, Festivals & Exhibitions",Screening / event listing,2025-09-20,2025,The Freedom to Control,Experimental Cinema / Visualcontainer [.BOX],Zazie Kanwar-Torge; Zazie Productions,Selected filmmaker and film,Phantom Requiem,,English,Independent cinema institution,Direct page verified,High,Recommended,https://expcinema.org/site/en/events/freedom-control,,Program lists ‘PHANTOM REQUIEM by Zazie Kanwar-Torge (Zazie Productions).’,2026-08-09
FF-006,A,"Film, Festivals & Exhibitions",Award announcement,2025-01-15,2025,PEBBLES UNDERGROUND SUMMER 2024 AWARD WINNERS + WINTER 2024 AWARD WINNERS,Visualcontainer TV,Zazie Kanwar-Torge; Zazie Productions,Jury Special Mention and creator listing,Phantom Requiem,,English,Video-art platform,Direct page verified,High,Recommended,https://www.visualcontainer.tv/pebbles-underground-summer-2024-award-winners-winter-2024-award-winners/,,Exact full and company names appear in winners list.,2026-08-09
FF-007,A,"Film, Festivals & Exhibitions",Television festival program,2024-10-09,2024,Celebrate Halloween with our Very Spooky Film Festival!,Latest TV Brighton,Zazie Productions,Film selected for televised festival program,Phantom Requiem,,English,Independent TV / media outlet,Direct page verified,High,Recommended,https://thelatest.co.uk/brighton/2024/10/09/celebrate-halloween-with-our-very-spooky-film-festival/,,Program lists ‘Phantom Requiem by Zazie Productions.’,2026-08-09
FF-008,A,"Film, Festivals & Exhibitions",Gallery exhibition page,2024,2024,Sepsis — Ripples,New Media Artspace,Zazie Productions,"Dedicated exhibition page, video, project statement and artist bio",Sepsis,,English,Academic / arts exhibition,Direct page verified,High,Recommended,https://newmediartspace.info/exhibitions/2024_ripples/sepsis.html,,Exact name is the artist credit and appears in the bio.,2026-08-09
FF-009,B,"Film, Festivals & Exhibitions",Group exhibition artist bio,Unknown,,The Artists — Infinite Self Pavilion,Cybernetic Futures,Zazie Productions,Named artist with bio in group exhibition,Infinite Self Pavilion,,English,Curated art exhibition,Direct page verified,High,Recommended,https://www.cyberneticfutures.com/infinite-self-pavilion/artistsbios,,Artist section is headed ‘ZAZIE PRODUCTIONS.’,2026-08-09
FF-010,A,"Film, Festivals & Exhibitions",Screening / filmmaker listing,2025-11-21,2025,"Films for Freedom, Presented by The Film-Makers' Cooperative and Canyon Cinema",The Film-Makers' Cooperative,Zazie Kanwar-Torge,Featured filmmaker in 100+ artist collaborative film,Films for Freedom,,English,Film institution,Direct page verified,High,Recommended,https://film-makerscoop.com/screenings/films-for-freedom-presented-by-the-film-makers-cooperative-a,,Featured filmmaker list contains the exact full name.,2026-08-09
FF-011,B,"Film, Festivals & Exhibitions",Film / video listing,2025,2025,FILMS FOR FREEDOM,Canyon Cinema Foundation / Vimeo,Zazie Kanwar-Torge,Participating filmmaker in hosted collaborative film,Films for Freedom,,English,Film institution / video platform,Direct page verified,High,Recommended,https://vimeo.com/1139013273,,Video description includes exact full name in participating filmmakers.,2026-08-09
PR-001,A,Publications & Recognition,Security acknowledgement,2025-08,2025,Apple web server security acknowledgements — August 2025,Apple Support,Zazie Kanwar-Torge,Credited security reporter,Apple web-server security,,English,Corporate security acknowledgement,Direct page verified,High,Recommended,https://support.apple.com/en-us/102774,,Apple’s August 2025 credits list contains the exact full name.,2026-08-09
PR-002,A,Publications & Recognition,Published letter / finalist profile,2020,2020,"Zazie Kanwar-Torge, Finalist, Local Letters for Global Change",Pulitzer Center,Zazie Kanwar-Torge,Published contest-finalist letter and author bio,Letter on LGBTQIA+ rights to Senator Thom Tillis,,English,Journalism / education institution,Direct page verified,High,Recommended,https://pulitzercenter.org/zazie-kanwar-torge-finalist-local-letters-global-change,,"Exact full name is in page title, letter signature and bio.",2026-08-09
PR-003,A,Publications & Recognition,Contest announcement,2020-01-08,2020,Winners and Finalists: Local Letters for Global Change 2019,Pulitzer Center,Zazie Kanwar-Torge,Named middle-school finalist,Local Letters for Global Change 2019,,English,Journalism / education institution,Direct page verified,High,Recommended,https://pulitzercenter.org/blog/winners-and-finalists-local-letters-global-change-2019,,Finalist list contains the exact full name.,2026-08-09
PR-004,B,Publications & Recognition,Anthology contributor listing,2026-04-30,2026,Are you really awake?,Amazon Books,Zazie Kanwar-Torge,Named contributing story author,Psychological-horror anthology,,English,Book retailer / publication listing,Direct page verified,High,Recommended,https://www.amazon.com/Are-really-awake-Aiden-Messer/dp/B0GSVBXBGS,https://www.amazon.com/Are-really-awake-Aiden-Messer-ebook/dp/B0GHN8FBP9,Print and Kindle descriptions list the exact full name among contributors.,2026-08-09
PR-005,B,Publications & Recognition,Anthology catalog listing,2026,2026,Are you really awake? — author/publisher catalog,Smashwords,Zazie Kanwar-Torge,Named contributor in book description,Psychological-horror anthology,,English,Book distribution platform,Direct page verified,High,Recommended,https://www.smashwords.com/profile/view/Aiden_E.Messer890,,Catalog description contains the exact full name.,2026-08-09
PR-006,B,Publications & Recognition,Research / sighting record,2025-01-26,2025,Cobalt-indigo flash followed by matte triangular object moving in abrupt jumps with edge illumination,Enigma Labs,Zazie Productions,Report accredited to the multimedia artist,Enigma sighting #311344,,English,Research / reporting platform,Search index verified; live page is client-rendered,High,Recommended,https://enigmalabs.io/sighting/311344,,Indexed record says ‘accredited to multimedia artist known as Zazie Productions.’,2026-08-09
PF-001,A,Profiles & Catalogs,Film / credit database,Unknown,,Zazie Kanwar-Torge,IMDb,Zazie Kanwar-Torge; Zazie Productions,"Composer, producer and sound-department profile",Film credits and biography,,English,Industry database,Direct or search-indexed profile verified,High,Supplemental,https://www.imdb.com/name/nm17333332/,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-002,A,Profiles & Catalogs,Professional profile,Unknown,,Zazie Kanwar-Torge - Independent Film Composer,LinkedIn,Zazie Kanwar-Torge; Zazie Productions,"Professional profile, publications, projects and awards",Career and publication index,,English,Professional network,Direct or search-indexed profile verified,High,Supplemental,https://www.linkedin.com/in/zazie-kanwar-torge-3b8a98373/,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-003,B,Profiles & Catalogs,Film / creative-industry profile,Unknown,,Zazie Kanwar-Torge,Stage 32,Zazie Kanwar-Torge; Zazie Productions,"Biography, awards and film credits",Film and music credits,,English,Industry network,Direct or search-indexed profile verified,High,Supplemental,https://www.stage32.com/profile/1164424/about,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-004,B,Profiles & Catalogs,Film / festival profile,Unknown,,Zazie Productions,FilmFreeway,Zazie Productions,"Filmography, 10 awards/selections and news links",Filmography and awards,,English,Festival platform,Direct or search-indexed profile verified,High,Supplemental,https://filmfreeway.com/ZazieProductions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-005,B,Profiles & Catalogs,Professional member profile,Unknown,,Zazie Productions,MUSE,Zazie Productions,"Member biography, skills and affiliations",Music and media career,,English,Professional association,Direct or search-indexed profile verified,High,Supplemental,https://museonline.org/profile/zazie-kanwar-torge/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-006,B,Profiles & Catalogs,Music-services profile / interview,Unknown,,Award Winning Musical Prodigy — Zazie Productions,SoundBetter,Zazie Productions,"Profile, nine reviews, credits and interview",Audio-production services,,English,Services marketplace,Direct or search-indexed profile verified,High,Supplemental,https://soundbetter.com/profiles/614805-zazie-productions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-007,C,Profiles & Catalogs,Film-industry profile,Unknown,,Zazie Productions,WFCN,Zazie Productions,"Biography, filmography and review",Film career,,English,Industry network,Direct or search-indexed profile verified,High,Supplemental,https://www.wfcn.co/profile/zazie.productions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-008,C,Profiles & Catalogs,Musician directory,Unknown,,Musicians Directory - Zazie Productions,Musicians.Directory,Zazie Productions,Composition profile and biography,Music career,,English,Directory,Direct or search-indexed profile verified,High,Supplemental,https://musicians.directory/profile-zazie-productions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-009,C,Profiles & Catalogs,Musician profile,Unknown,,"Zazieproductions + Musician in Asheville, NC",BandMix,Zazie Productions,"Biography, instruments and film video",Music services,,English,Services marketplace,Direct or search-indexed profile verified,High,Supplemental,https://www.bandmix.com/zazieproductions/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-010,C,Profiles & Catalogs,Creative-services profile,Unknown,,Zazie Productions,Casting Call Club,Zazie Productions,"Composer, editor, audio engineer, writer and producer profile",Creative services,,English,Industry network,Direct or search-indexed profile verified,High,Supplemental,https://www.castingcall.club/zazieproductions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-011,C,Profiles & Catalogs,Developer / creator profile,Unknown,,Zazie Productions,itch.io,Zazie Productions,"Creator bio, games, tools and digital products",Interactive media,,English,Creator platform,Direct or search-indexed profile verified,High,Supplemental,https://zazieproductions.itch.io/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-012,B,Profiles & Catalogs,Developer profile,Unknown,,Zazie Kanwar-Torge's Profile,Hackaday.io,Zazie Kanwar-Torge; Zazie Productions,Hardware/audio developer bio and two projects,Audio tech and hardware,,English,Developer community,Direct or search-indexed profile verified,High,Supplemental,https://hackaday.io/ZazieProductions,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-013,B,Profiles & Catalogs,Composer reel,Unknown,,Zazie Productions Reel,ReelCrafter,Zazie Kanwar-Torge; Zazie Productions,"Bio, credits and selected scoring reel",Film-composition reel,,English,Portfolio platform,Direct or search-indexed profile verified,High,Supplemental,https://play.reelcrafter.com/z6vU_hn4T76AE0kv4rtd9w,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-014,C,Profiles & Catalogs,Music analytics profile,Unknown,,Zazie Kanwar-Torge,Songstats,Zazie Kanwar-Torge,Cross-platform music analytics profile,Music analytics,,English,Analytics platform,Direct or search-indexed profile verified,High,Supplemental,https://songstats.com/artist/mljz9dxu/zazie-kanwar-torge,,Public page or index contains the exact name: Zazie Kanwar-Torge.,2026-08-09
PF-015,B,Profiles & Catalogs,Music analytics / editorial profile,Unknown,,"Zazie Productions - Songs, Events and Music Stats",Viberate,Zazie Productions,"Artist overview, tracks, releases and analytics",Music analytics,,English,Analytics platform,Direct or search-indexed profile verified,High,Supplemental,https://www.viberate.com/artist/zazie-productions/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-016,C,Profiles & Catalogs,Playlist curator profile,Unknown,,Zazie Productions playlist curator on Groover,Groover,Zazie Productions,Verified curator profile and artist-services bio,Playlist curation,,English,Music platform,Direct or search-indexed profile verified,High,Supplemental,https://groover.co/en/influencer/profile/0.zazie-productions/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-017,C,Profiles & Catalogs,Music profile,Unknown,,Zazie Productions - @ZazieProd on Slaps,Slaps,Zazie Productions,"Artist biography, tracks and influences",Music profile,,English,Music platform,Direct or search-indexed profile verified,High,Supplemental,https://slaps.com/ZazieProd,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-018,C,Profiles & Catalogs,Visual-art portfolio,Unknown,,Zazie Productions,Behance,Zazie Productions,Visual portfolio and profile,Graphic and visual art,,English,Portfolio platform,Direct or search-indexed profile verified,High,Supplemental,https://www.behance.net/zaziediya,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-019,C,Profiles & Catalogs,Artist equipment index,Unknown,,Artists Starting with Z,Equipboard,Zazie Productions,Indexed artist / composer listing,Music gear profile index,,English,Music database,Direct or search-indexed profile verified,High,Supplemental,https://equipboard.com/pros-index/z,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-020,C,Profiles & Catalogs,Music streaming artist profile,Unknown,,Zazie Productions,Spotify,Zazie Productions,Streaming artist profile,Discography,,English,Streaming platform,Direct or search-indexed profile verified,High,Supplemental,https://open.spotify.com/artist/4UOgvZEOo7xBhFBjJvlMm0,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-021,C,Profiles & Catalogs,Algorithmic radio playlist,Unknown,,Zazie Productions Radio,Spotify,Zazie Productions,Artist radio playlist and track appearances,Artist radio,,English,Streaming platform,Direct or search-indexed profile verified,High,Supplemental,https://open.spotify.com/playlist/37i9dQZF1E4wLqQSg8MWKD,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-022,C,Profiles & Catalogs,Music streaming artist profile,Unknown,,Zazie Productions on Apple Music,Apple Music,Zazie Productions; Zazie Kanwar-Torge,"Albums, singles and composer credits",Discography,,English,Streaming platform,Direct or search-indexed profile verified,High,Supplemental,https://music.apple.com/us/artist/zazie-productions/1623719351,,Public page or index contains the exact name: Zazie Productions; Zazie Kanwar-Torge.,2026-08-09
PF-023,C,Profiles & Catalogs,Music streaming artist profile,Unknown,,"Zazie Productions: albums, songs, concerts",Deezer,Zazie Productions; Zazie Kanwar-Torge,Discography and composer credits,Discography,,English,Streaming platform,Direct or search-indexed profile verified,High,Supplemental,https://www.deezer.com/us/artist/170543657,,Public page or index contains the exact name: Zazie Productions; Zazie Kanwar-Torge.,2026-08-09
PF-024,C,Profiles & Catalogs,Artist storefront / discography,Unknown,,Music — Zazie Productions,Bandcamp,Zazie Productions,Artist bio and self-released discography,Discography,,English,Artist storefront,Direct or search-indexed profile verified,High,Supplemental,https://zazieproductions.bandcamp.com/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-025,B,Profiles & Catalogs,Music database profile,Unknown,,Zazie Productions Discography,Discogs,Zazie Productions,Artist releases and 58 appearances / 60 compilation rows,Discography and compilation credits,,English,Music database,Direct or search-indexed profile verified,High,Supplemental,https://www.discogs.com/artist/11354435-Zazie-Productions,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
PF-026,C,Profiles & Catalogs,Music credits profile,Unknown,,Zazie Kanwar- Torge - Credits,Muso.AI,Zazie Kanwar-Torge; Zazie Productions,"41 composer credits, lyricist credits and collaborators",Verified music credits,,English,Music database,Direct or search-indexed profile verified,High,Supplemental,https://credits.muso.ai/profile/4010f3b7-9a87-4961-8dfd-917de0ba787e,,Public page or index contains the exact name: Zazie Kanwar-Torge; Zazie Productions.,2026-08-09
PF-027,C,Profiles & Catalogs,Digital-product storefront,Unknown,,Subscribe to Zazie Productions on Gumroad,Gumroad,Zazie Productions,Creator profile and digital products,Digital products,,English,Creator storefront,Direct or search-indexed profile verified,High,Supplemental,https://zazieproductions.gumroad.com/,,Public page or index contains the exact name: Zazie Productions.,2026-08-09
